Clase,Precision,Recall,F1-score,ID_Entrenamiento
Clase 0,0.9638009049773756,0.9638009049773756,0.9638009049773756,Entrenamiento_86736
Clase 1,0.8056872037914692,0.7692307692307693,0.7870370370370371,Entrenamiento_86736
Clase 2,0.8095238095238095,0.8461538461538461,0.827433628318584,Entrenamiento_86736
