,precision,recall,f1-score,support,ID_Entrenamiento,AUC
weighted avg,0.8340570928806224,0.8340874811463047,0.8340696468435148,663.0,Entrenamiento_86734,
AUC,0.9470902179180061,,,,Entrenamiento_86734,0.9470902179180061
Clase 0,0.9720930232558139,0.9457013574660633,0.9587155963302753,221.0,Entrenamiento_86735,
Clase 1,0.8148148148148148,0.6968325791855203,0.751219512195122,221.0,Entrenamiento_86735,
Clase 2,0.749034749034749,0.8778280542986425,0.8083333333333333,221.0,Entrenamiento_86735,
accuracy,0.8401206636500754,0.8401206636500754,0.8401206636500754,0.8401206636500754,Entrenamiento_86735,
macro avg,0.8453141957017926,0.8401206636500754,0.8394228139529103,663.0,Entrenamiento_86735,
weighted avg,0.8453141957017927,0.8401206636500754,0.8394228139529103,663.0,Entrenamiento_86735,
AUC,0.9471823536236631,,,,Entrenamiento_86735,0.9471823536236631
Clase 0,0.9638009049773756,0.9638009049773756,0.9638009049773756,221.0,Entrenamiento_86736,
Clase 1,0.8056872037914692,0.7692307692307693,0.7870370370370371,221.0,Entrenamiento_86736,
Clase 2,0.8095238095238095,0.8461538461538461,0.827433628318584,221.0,Entrenamiento_86736,
accuracy,0.8597285067873304,0.8597285067873304,0.8597285067873304,0.8597285067873304,Entrenamiento_86736,
macro avg,0.8596706394308847,0.8597285067873304,0.8594238567776656,663.0,Entrenamiento_86736,
weighted avg,0.8596706394308847,0.8597285067873304,0.8594238567776655,663.0,Entrenamiento_86736,
AUC,0.9496836674105772,,,,Entrenamiento_86736,0.9496836674105772
