Clase,Precision,Recall,F1-score,ID_Entrenamiento
Clase 0,0.9720930232558139,0.9457013574660633,0.9587155963302753,Entrenamiento_86735
Clase 1,0.8148148148148148,0.6968325791855203,0.751219512195122,Entrenamiento_86735
Clase 2,0.749034749034749,0.8778280542986425,0.8083333333333333,Entrenamiento_86735
