ID_Entrenamiento,AUC
Entrenamiento_21078,0.9074924678589557
Entrenamiento_35212,0.9045011648538472
Entrenamiento_54709,0.9174747173731708
Entrenamiento_18688,0.9116106044685895
Entrenamiento_86729,0.4244891670626405
Entrenamiento_65732,0.5194980659572854
Entrenamiento_86730,0.922745917023266
Entrenamiento_86731,0.9226435440169805
Entrenamiento_86732,0.9368972789254928
Entrenamiento_86733,0.947544071579206
Entrenamiento_86734,0.947090217918006
Entrenamiento_86735,0.9471823536236632
Entrenamiento_86736,0.9496836674105772
Entrenamiento_86737,0.9495744695372056
Entrenamiento_86738,0.9402380513639498
Entrenamiento_86739,0.940828402366864
Entrenamiento_86740,0.7563317704387708
Entrenamiento_86741,0.934464213809436
Entrenamiento_86742,0.9453498768111492
Entrenamiento_86743,0.9403472492373212
Entrenamiento_86744,0.8094735980016788
Entrenamiento_86745,0.7133897067354614
Entrenamiento_86746,0.9430328344355492
Entrenamiento_86747,0.943998553128178
Entrenamiento_86748,0.9438859428212636
Entrenamiento_86749,0.9413505046989208
Entrenamiento_86750,0.9382042409724072
Entrenamiento_86751,0.9418214205278352
Entrenamiento_86752,0.9249401117913228
Entrenamiento_86753,0.9096728841205818
Entrenamiento_86754,0.9191594493697236
Entrenamiento_86754,0.9068883383496106
Entrenamiento_86754,0.9321028097977792
Entrenamiento_86754,0.9479092019682916
Entrenamiento_86755,0.9186441719047522
Entrenamiento_86756,0.8280508862089911
Entrenamiento_86758,0.929987101001208
Entrenamiento_86759,0.8088968967329361
Entrenamiento_86760,0.8200470233342205
Entrenamiento_86762,0.8574421763136163
Entrenamiento_86763,0.8582850473987019
Entrenamiento_86764,0.879387536427728
Entrenamiento_86765,0.9429679981982352
Entrenamiento_86766,0.9453737638459492
Entrenamiento_86767,0.8980944971096688
Entrenamiento_86768,0.900493437890297
